BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,GHGEmissionsIntensity,Building_Age,Emissions_per_Surface,Energy_per_Surface,GFA-1use_ratio,GFA_per_Floor,Emissions_per_floor,Energy_per_floor,Elec_ratio,steam_ratio,NGas_ratio,District
NonResidential,Other,12,88434,0,60.0,2.83,89,0.0,81.71,1.0,7369.5,20.83,602196.88,0.55,0.28,0.18,CENTRAL CITY
NonResidential,Other,10,61320,0,56.0,4.67,90,0.0,110.81,1.0,6132.0,28.64,679458.4,0.41,0.33,0.27,CENTRAL CITY
NonResidential,Other,11,83008,0,27.0,2.12,90,0.0,69.38,0.98,7546.18,16.01,523526.82,0.49,0.0,0.51,CENTRAL CITY
NonResidential,Other,8,102761,0,0.0,2.16,90,0.0,61.29,1.0,12845.12,27.69,787266.44,0.58,0.36,0.06,CENTRAL CITY
NonResidential,Other,9,65009,0,48.0,5.05,88,0.01,101.46,1.0,7223.22,36.47,732895.28,0.2,0.25,0.55,CENTRAL CITY
SPS-District K-12,K-12 School,2,56228,0,95.0,0.69,55,0.0,27.38,1.05,28114.0,19.26,769739.25,0.61,0.0,0.39,SOUTH END
NonResidential,Other,6,88592,30586,84.0,1.02,15,0.0,41.35,0.65,14765.33,15.0,610589.08,0.62,0.0,0.38,NORTH END
NonResidential,Other,2,67224,0,0.0,0.14,86,0.0,19.49,1.0,33612.0,4.57,655118.31,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Other,8,158676,30301,0.0,1.62,25,0.0,33.58,0.71,19834.5,32.07,666006.44,0.11,0.0,0.89,CENTRAL CITY
NonResidential,Other,5,68410,16200,57.0,1.88,38,0.0,65.15,0.7,13682.0,25.69,891342.9,0.53,0.0,0.47,CENTRAL CITY
SPS-District K-12,K-12 School,2,160645,0,75.0,1.68,67,0.0,42.2,1.02,80322.5,135.09,3389586.5,0.29,0.0,0.71,NORTH END
NonResidential,Small- and Mid-Sized Office,3,87262,0,0.0,1.81,110,0.0,47.51,0.47,29087.33,52.59,1381973.5,0.33,0.0,0.67,CENTRAL CITY
NonResidential,Other,4,81871,0,29.0,2.63,22,0.0,81.45,1.0,20467.75,53.75,1667142.12,0.45,0.0,0.55,NORTH END
NonResidential,Warehouse,2,110356,0,0.0,0.04,61,0.0,2.88,0.24,55178.0,1.96,159182.41,0.88,0.0,0.12,NORTH END
SPS-District K-12,K-12 School,2,54986,0,97.0,0.57,26,0.0,30.01,1.0,27493.0,15.74,825139.62,0.74,0.0,0.26,NORTH END
SPS-District K-12,K-12 School,2,175565,0,88.0,1.52,66,0.0,36.45,1.04,87782.5,133.02,3199563.75,0.25,0.0,0.75,NORTH END
NonResidential,Small- and Mid-Sized Office,2,94900,0,57.0,1.38,55,0.0,65.19,0.59,47450.0,65.28,3093230.75,0.69,0.0,0.31,NORTH END
